stockCode,date,open,high,low,close,volume
035420,2020-01-03,185000,186000,180500,181500,454492
035420,2020-01-06,180000,182000,178000,180500,287970
035420,2020-01-07,182500,187000,181500,187000,328624
035420,2020-01-08,182000,183500,179000,183000,820867
035420,2020-01-09,183500,186500,183500,186000,531355
035420,2020-01-10,185000,188000,183999,188000,398739
035420,2020-01-13,187500,188499,185999,188000,337749
035420,2020-01-14,188000,194499,188000,190500,501286
035420,2020-01-15,189500,191999,188500,191500,323778
035420,2020-01-16,190000,192500,189000,191500,245107
035420,2020-01-17,190500,192499,189500,191000,286019
035420,2020-01-20,190000,190500,187000,187500,454733
035420,2020-01-21,187500,189500,181000,182000,547678
035420,2020-01-22,185000,190000,184500,186000,429852
035420,2020-01-23,185000,185500,181500,183000,375929
035420,2020-01-28,182000,184500,178000,178500,476253
035420,2020-01-29,183000,183500,180000,180000,434897
035420,2020-01-30,179500,183000,175000,180000,772160
035420,2020-01-31,180000,180500,177500,179500,537062
035420,2020-02-03,178000,180500,176000,177500,485913
035420,2020-02-04,177500,181500,175000,180500,563463
035420,2020-02-05,181000,183500,178500,181500,653809
035420,2020-02-06,182500,183500,180500,181500,659850
035420,2020-02-07,181500,188500,181000,185000,728633
035420,2020-02-10,182500,184000,180500,183500,433051
035420,2020-02-11,183500,185000,183000,184500,400386
035420,2020-02-12,183000,185000,181500,185000,351892
035420,2020-02-13,184000,185000,183000,184500,555923
035420,2020-02-14,184000,187499,184000,186500,659429
035420,2020-02-17,184500,189000,184500,188500,312407
035420,2020-02-18,186500,188500,185500,186500,345642
035420,2020-02-19,188000,191000,185000,189500,560743
035420,2020-02-20,189500,191500,187500,190000,427402
035420,2020-02-21,187500,191000,187000,189500,434019
035420,2020-02-24,185500,187500,183500,184000,567036
035420,2020-02-25,184000,191000,183500,190500,704859
035420,2020-02-26,189500,189999,186499,187000,494066
035420,2020-02-27,185000,187000,179000,182000,535696
035420,2020-02-28,179000,180000,172000,174000,830654
035420,2020-03-02,175000,177000,172500,175000,659376
035420,2020-03-03,179000,180000,174000,175000,544379
035420,2020-03-04,174500,179500,173000,178500,450252
035420,2020-03-05,180500,181000,178500,181000,483840
035420,2020-03-06,179500,181000,177500,179500,293897
035420,2020-03-09,174500,174500,167500,168000,668089
035420,2020-03-10,168000,176000,165000,172000,666532
035420,2020-03-11,172000,174000,167500,170000,483822
035420,2020-03-12,170000,170000,161000,166500,980814
035420,2020-03-13,151000,168000,149500,166000,1242510
035420,2020-03-16,166000,166500,155000,155000,812823
035420,2020-03-17,147500,155500,147000,151000,979243
035420,2020-03-18,152500,156000,146000,146000,666723
035420,2020-03-19,150000,151500,135000,144000,1154230
035420,2020-03-20,147500,156500,146000,154000,997895
035420,2020-03-23,141500,149500,140000,143000,1033851
035420,2020-03-24,151500,157000,148000,156000,960786
035420,2020-03-25,160500,163000,152000,156000,1039579
035420,2020-03-26,156000,158000,149500,152500,988725
035420,2020-03-27,161500,164500,158500,164000,1217815
035420,2020-03-30,160000,165000,159000,162500,630830
035420,2020-03-31,163500,171000,163500,170000,858165
018260,2020-01-02,194500,195000,192000,192000,59743
018260,2020-01-03,193500,195000,191500,192500,66452
